iter	Passed	Remaining
812	5364	7832
813	5369	7823
814	5378	7820
815	5384	7813
816	5392	7807
817	5397	7799
818	5403	7791
819	5410	7785
820	5415	7776
821	5422	7770
822	5428	7763
823	5434	7755
824	5441	7749
825	5446	7741
826	5453	7734
827	5460	7728
828	5465	7720
829	5475	7718
830	5481	7710
831	5487	7704
832	5495	7698
833	5501	7690
834	5507	7684
835	5513	7677
836	5521	7671
837	5527	7664
838	5533	7657
839	5540	7651
840	5546	7643
841	5555	7640
842	5561	7633
843	5566	7624
844	5574	7619
845	5580	7611
846	5587	7605
847	5593	7598
848	5599	7591
849	5605	7584
850	5612	7578
851	5621	7574
852	5628	7568
853	5636	7563
854	5643	7557
855	5649	7550
856	5655	7543
857	5661	7535
858	5672	7534
859	5678	7527
860	5684	7520
861	5690	7512
862	5696	7505
863	5702	7497
864	5707	7488
865	5713	7481
866	5718	7473
867	5724	7465
868	5730	7458
869	5736	7450
870	5742	7442
871	5750	7438
872	5756	7430
873	5761	7423
874	5766	7414
875	5772	7406
876	5778	7399
877	5784	7392
878	5790	7384
879	5797	7378
880	5803	7370
881	5808	7363
882	5816	7358
883	5822	7350
884	5830	7345
885	5836	7338
886	5842	7330
887	5848	7323
888	5853	7315
889	5859	7307
890	5865	7300
891	5870	7292
892	5879	7288
893	5885	7280
894	5891	7273
895	5898	7267
896	5903	7259
897	5912	7255
898	5919	7249
899	5925	7242
900	5931	7235
901	5936	7226
902	5942	7219
903	5949	7212
904	5955	7205
905	5962	7199
906	5967	7191
907	5973	7184
908	5979	7176
909	5984	7168
910	5992	7163
911	5997	7155
912	6003	7147
913	6011	7142
914	6016	7134
915	6022	7127
916	6028	7120
917	6033	7111
918	6039	7104
919	6046	7097
920	6051	7089
921	6060	7085
922	6065	7078
923	6074	7073
924	6079	7065
925	6085	7058
926	6092	7052
927	6098	7044
928	6105	7038
929	6110	7030
930	6116	7023
931	6122	7015
932	6127	7008
933	6134	7001
934	6140	6994
935	6145	6985
936	6151	6978
937	6157	6971
938	6163	6963
939	6171	6959
940	6176	6950
941	6180	6942
942	6186	6934
943	6190	6925
944	6195	6916
945	6201	6909
946	6205	6900
947	6210	6891
948	6218	6886
949	6224	6879
950	6229	6871
951	6236	6864
952	6240	6856
953	6245	6848
954	6256	6846
955	6261	6837
956	6267	6831
957	6273	6823
958	6278	6815
959	6285	6808
960	6290	6801
961	6297	6794
962	6303	6787
963	6308	6779
964	6315	6773
965	6321	6766
966	6327	6758
967	6335	6753
968	6340	6746
969	6346	6738
970	6351	6731
971	6357	6723
972	6364	6717
973	6368	6708
974	6374	6701
975	6382	6696
976	6387	6688
977	6393	6680
978	6399	6674
979	6405	6666
980	6411	6660
981	6420	6655
982	6426	6648
983	6431	6640
984	6437	6633
985	6444	6627
986	6449	6619
987	6454	6611
988	6462	6605
989	6467	6598
990	6472	6589
991	6479	6584
992	6484	6576
993	6489	6567
